-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2022 
Location: Latitude  -54.8107   Longitude -68.3147 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 268.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                 MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE              MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
WS2M_RANGE             MERRA-2 Wind Speed at 2 Meters Range (m/s) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WD2M
2021,29,88.22,150.38,3.18,-0.24,1.47,4.96,4.84,5.91,1.07,3.85,79.19,2.19,96.81,5.95,7.24,3.75,3.49,222.19
2021,30,114.0,148.84,6.01,3.44,4.73,7.05,7.66,9.5,1.83,5.0,84.19,0.78,97.68,5.39,7.02,3.1,3.92,253.5
2021,31,53.88,146.6,8.52,4.85,6.69,8.67,6.17,11.44,5.27,5.55,78.06,0.61,96.89,8.09,9.39,5.59,3.8,285.56
2021,32,88.05,148.34,8.17,4.15,6.16,8.73,4.61,10.73,6.12,5.31,76.38,1.28,96.38,8.09,9.72,5.5,4.22,266.88
2021,33,71.63,146.66,8.74,5.93,7.33,9.02,5.2,11.27,6.08,6.04,82.81,3.88,96.66,6.41,7.54,4.48,3.06,268.31
2021,34,107.14,145.43,8.41,4.1,6.26,9.19,6.24,11.32,5.08,5.31,75.56,1.85,97.59,5.81,7.91,2.07,5.84,270.12
2021,35,121.58,144.69,9.55,5.31,7.43,9.97,7.02,11.73,4.73,5.8,75.5,0.75,97.11,8.23,9.4,6.62,2.77,269.06
2021,36,108.33,143.25,5.97,2.09,4.03,7.15,4.5,8.3,3.81,4.52,77.19,1.25,97.95,6.81,8.99,3.23,5.77,246.88
2021,37,120.55,141.48,7.2,2.72,4.96,8.33,9.05,12.11,3.06,4.7,75.31,0.21,98.56,3.67,4.63,2.36,2.27,262.19
2021,38,109.98,138.38,9.79,5.11,7.44,10.03,9.64,14.09,4.45,5.62,73.81,0.19,98.32,3.76,5.59,1.71,3.89,283.75
2021,39,83.59,138.72,13.35,9.56,11.46,12.73,7.83,17.3,9.47,7.63,78.19,0.08,97.78,3.77,5.12,1.45,3.67,284.62
2021,40,105.35,137.99,13.22,9.18,11.2,12.85,8.21,16.87,8.66,7.39,77.69,0.03,98.31,2.24,4.04,0.84,3.2,311.12
2021,41,128.3,134.08,15.52,10.66,13.09,14.83,9.43,20.37,10.94,8.24,74.94,0.04,97.57,3.39,5.85,1.08,4.77,119.38
2021,42,67.36,134.82,11.05,7.34,9.19,11.26,9.18,14.13,4.95,6.77,78.94,3.81,96.62,4.12,5.86,2.12,3.73,285.56
2021,43,64.46,131.01,9.0,4.69,6.84,9.25,8.41,12.85,4.44,5.49,75.38,2.32,97.23,5.63,8.38,2.43,5.95,321.88
2021,44,42.92,132.48,6.68,4.4,5.54,7.64,5.1,8.93,3.83,5.43,85.38,11.72,96.7,2.09,4.6,0.58,4.03,279.94
2021,45,67.94,130.83,6.69,2.18,4.43,7.69,8.01,10.79,2.78,4.58,74.06,0.81,97.46,5.25,6.26,4.27,1.98,285.81
2021,46,64.62,129.02,9.89,5.94,7.91,9.92,6.78,13.48,6.69,5.98,76.94,0.97,97.42,5.73,7.12,4.47,2.65,318.12
2021,47,69.12,128.41,10.72,7.47,9.09,10.65,6.19,14.07,7.87,6.65,81.25,1.7,97.03,2.9,4.5,0.68,3.82,318.69
2021,48,70.79,125.6,10.91,7.81,9.37,10.77,8.38,15.4,7.03,6.84,82.62,2.72,96.47,3.46,5.66,1.15,4.52,268.5
2021,49,95.21,125.75,7.06,2.88,4.97,8.23,7.67,10.19,2.51,4.88,76.12,2.79,96.66,4.2,6.33,1.75,4.57,260.69
2021,50,61.38,123.92,6.4,2.87,4.64,7.36,7.02,9.93,2.9,4.82,79.0,1.07,97.16,4.32,6.63,2.22,4.41,285.94
2021,51,48.86,122.51,7.24,5.32,6.28,7.71,8.1,10.87,2.76,5.8,87.69,3.93,96.63,4.85,5.84,3.38,2.46,275.25
2021,52,45.15,122.19,3.41,-0.53,1.44,5.26,4.43,5.63,1.2,3.78,76.25,1.56,97.08,2.52,3.52,1.69,1.84,237.0
2021,53,59.9,119.03,5.09,2.77,3.94,5.97,7.04,8.76,1.72,4.82,85.12,3.29,96.53,6.79,9.77,3.11,6.66,245.56
2021,54,51.76,114.89,6.07,3.32,4.69,6.64,6.81,10.06,3.25,5.07,82.75,4.08,96.4,7.2,9.73,4.91,4.81,264.69
2021,55,80.9,117.47,4.8,1.25,3.03,5.92,5.09,7.7,2.61,4.33,78.56,2.1,96.14,9.32,10.98,6.97,4.01,248.88
2021,56,92.18,115.34,4.42,0.52,2.47,5.77,4.96,7.46,2.5,4.09,76.88,0.9,97.07,6.2,8.39,2.02,6.38,243.06
2021,57,87.34,112.62,8.73,6.08,7.4,8.78,10.79,13.41,2.62,6.1,83.88,0.11,97.59,4.49,6.84,1.88,4.97,289.62
2021,58,111.9,112.3,12.74,8.3,10.52,12.11,11.55,18.72,7.16,7.02,76.56,0.02,97.14,3.98,5.29,2.42,2.87,314.44
2021,59,73.54,111.57,7.72,3.76,5.73,8.4,7.85,10.47,2.61,5.31,76.88,1.06,96.89,4.42,6.57,2.24,4.33,247.81
2021,60,87.68,109.72,5.29,0.02,2.65,6.48,8.88,9.62,0.76,3.91,70.75,0.03,98.03,2.76,3.79,1.95,1.84,274.31
2021,61,73.37,108.53,7.12,3.61,5.37,7.51,9.29,11.67,2.38,5.0,80.12,0.32,98.27,3.89,6.44,1.83,4.61,303.56
2021,62,84.6,107.17,7.79,4.29,6.04,8.08,8.34,11.95,3.61,5.25,79.88,0.14,98.5,2.76,4.22,1.59,2.62,303.88
2021,63,68.77,104.76,9.01,5.26,7.14,9.01,8.78,12.94,4.15,5.68,78.12,0.05,97.96,3.95,5.59,2.48,3.11,313.56
2021,64,60.34,103.97,9.69,4.68,7.19,9.8,5.14,12.08,6.94,5.62,72.56,2.48,96.29,5.5,7.85,2.27,5.59,230.5
2021,65,73.9,102.96,9.08,4.33,6.71,9.33,6.36,11.72,5.36,5.55,73.81,1.42,95.14,6.05,7.79,2.7,5.09,287.88
2021,66,55.05,101.14,5.43,1.52,3.48,6.34,5.47,7.46,1.99,4.52,76.81,1.29,95.66,5.79,7.88,3.87,4.01,285.25
2021,67,50.33,98.65,8.14,5.09,6.62,8.31,9.86,12.53,2.67,5.74,81.62,0.63,96.18,6.05,7.15,4.31,2.84,314.75
2021,68,34.12,96.84,10.04,8.32,9.18,9.48,6.82,13.77,6.94,7.2,89.06,2.25,95.21,3.98,6.77,1.27,5.5,221.56
2021,69,66.15,96.12,6.18,1.83,4.01,6.94,5.21,8.44,3.22,4.7,74.56,1.34,94.08,7.82,11.22,1.85,9.37,285.81
2021,70,46.45,94.18,3.9,0.23,2.07,4.98,4.37,6.04,1.67,4.09,77.38,4.55,94.87,8.14,10.82,4.89,5.93,270.94
2021,71,59.38,93.35,8.55,4.9,6.73,8.56,8.43,12.33,3.9,5.68,78.12,0.79,95.7,8.59,10.04,7.01,3.02,277.0
2021,72,70.02,92.31,4.34,-0.37,1.99,5.36,4.99,7.15,2.16,3.78,72.25,0.21,97.95,7.38,9.6,2.29,7.31,253.31
2021,73,48.45,88.16,5.95,2.48,4.21,6.53,8.78,10.26,1.48,4.7,79.81,2.46,97.83,3.11,4.29,1.65,2.64,231.69
2021,74,68.51,89.73,5.38,1.72,3.55,6.17,7.26,8.33,1.08,4.58,78.31,1.83,96.48,7.05,9.66,4.21,5.45,283.44
2021,75,48.46,87.53,4.18,1.69,2.94,5.06,6.02,6.71,0.68,4.46,84.19,1.82,97.96,7.01,8.27,5.73,2.55,254.81
2021,76,26.16,85.53,7.47,4.52,5.99,7.62,3.66,9.55,5.9,5.37,81.75,0.41,97.56,8.11,9.6,5.93,3.66,285.0
2021,77,45.66,85.32,6.38,1.49,3.94,7.14,4.09,8.23,4.14,4.46,72.19,0.33,96.25,6.56,9.38,3.73,5.64,273.44
2021,78,39.57,83.05,5.66,2.23,3.94,6.24,7.26,9.51,2.25,4.7,79.0,3.17,94.96,6.66,9.21,4.95,4.26,282.5
2021,79,52.09,81.82,4.66,1.51,3.08,5.46,5.72,7.19,1.48,4.46,80.62,1.61,96.64,8.08,8.85,6.7,2.16,256.62
2021,80,55.77,79.99,7.63,4.8,6.22,7.78,4.23,10.17,5.93,5.49,82.81,0.87,97.59,5.19,8.22,1.51,6.71,280.81
2021,81,44.1,79.42,8.79,6.37,7.58,8.59,8.15,13.39,5.25,6.23,85.44,2.37,96.98,4.4,5.84,1.28,4.55,307.06
2021,82,13.51,77.36,5.13,4.33,4.73,5.54,4.83,7.9,3.07,5.43,94.5,13.9,96.19,3.87,7.91,1.2,6.7,141.69
2021,83,36.43,76.38,3.99,1.94,2.97,4.76,3.04,5.65,2.62,4.52,86.75,2.5,96.7,8.48,10.8,2.77,8.02,247.62
2021,84,44.14,74.83,6.32,2.87,4.59,6.54,6.44,10.47,4.03,4.88,80.06,1.17,96.94,6.56,9.05,2.39,6.66,294.5
2021,85,48.37,71.16,6.12,2.42,4.27,6.22,5.49,9.05,3.55,4.64,77.62,0.07,97.53,5.16,8.02,2.42,5.6,292.81
2021,86,18.69,68.88,7.53,6.21,6.87,7.26,4.77,10.09,5.32,6.23,91.31,5.39,96.09,6.3,9.87,3.57,6.3,322.44
2021,87,48.73,70.98,5.38,1.58,3.48,5.69,6.11,8.32,2.21,4.39,77.31,9.35,97.36,6.27,11.96,1.61,10.35,266.38
2021,88,25.43,65.57,5.76,4.42,5.09,5.89,6.41,8.37,1.96,5.43,91.12,73.81,97.32,4.3,6.46,2.13,4.33,314.88
2021,89,61.95,68.66,5.5,2.83,4.16,5.62,6.7,8.04,1.34,4.82,83.88,0.34,98.14,4.57,7.9,2.23,5.68,257.0
2021,90,65.17,67.0,4.59,0.99,2.8,4.14,9.42,9.96,0.54,4.15,79.5,0.0,99.11,2.05,3.1,0.62,2.48,311.0
2021,91,39.05,59.54,5.15,3.94,4.55,5.42,9.12,9.34,0.22,5.19,90.19,0.83,98.21,3.21,5.11,1.91,3.2,329.19
2021,92,43.12,63.8,5.51,3.44,4.48,5.48,5.46,8.7,3.24,5.0,86.81,0.96,97.52,2.28,4.76,0.34,4.41,244.0
2021,93,21.03,63.05,2.17,1.18,1.68,3.13,3.38,3.56,0.19,4.27,93.19,7.89,96.89,3.85,7.06,1.64,5.42,219.0
2021,94,36.23,61.52,2.44,0.69,1.57,3.13,4.32,5.26,0.94,4.15,88.38,1.98,97.02,3.57,4.95,2.69,2.26,282.5
2021,95,52.32,60.3,2.53,0.26,1.4,3.38,5.86,6.14,0.29,3.97,85.75,0.5,98.14,2.76,3.74,1.34,2.4,272.56
2021,96,12.11,55.01,4.27,3.71,3.99,4.71,6.9,6.56,-0.34,5.13,96.06,3.81,97.47,4.77,6.65,1.69,4.96,222.5
2021,97,30.63,57.84,5.29,4.69,4.99,5.25,3.33,7.44,4.12,5.55,95.81,3.93,96.07,1.86,2.73,1.23,1.5,293.69
2021,98,36.14,56.99,3.69,1.58,2.63,4.17,5.23,5.94,0.7,4.46,86.56,0.77,96.95,5.51,7.38,2.78,4.6,248.31
2021,99,37.09,55.62,4.49,1.83,3.16,4.74,6.34,7.87,1.52,4.46,83.44,0.07,97.45,4.39,6.02,2.39,3.62,289.56
2021,100,36.56,54.84,6.28,3.47,4.87,6.3,5.75,9.63,3.88,5.07,82.81,1.38,96.14,5.8,6.69,5.0,1.69,307.06
2021,101,34.4,52.75,6.2,2.42,4.31,6.05,5.41,8.94,3.53,4.76,77.31,0.82,95.79,5.27,6.22,3.73,2.48,317.06
2021,102,39.15,51.68,5.47,1.51,3.49,5.55,4.1,7.6,3.5,4.46,76.06,0.74,95.46,6.99,9.52,4.52,5.0,300.0
2021,103,26.73,50.66,5.29,2.58,3.93,5.62,4.15,7.58,3.43,4.82,83.06,3.8,95.87,8.23,13.18,3.01,10.17,201.44
2021,104,32.53,50.08,4.8,1.2,3.0,5.05,5.54,8.58,3.05,4.39,77.75,0.21,95.25,8.17,10.12,6.54,3.58,304.69
2021,105,30.23,48.5,4.57,2.78,3.68,5.01,7.2,7.99,0.79,4.88,88.62,2.24,95.74,4.45,5.84,2.62,3.22,243.69
2021,106,38.24,47.52,4.49,2.29,3.39,4.62,4.04,6.36,2.32,4.7,85.81,1.12,96.09,6.43,11.5,2.16,9.33,281.06
2021,107,26.73,46.47,6.46,4.72,5.59,6.14,7.51,10.74,3.24,5.49,89.19,0.39,97.15,4.18,5.12,2.88,2.23,273.31
2021,108,28.12,44.78,6.58,5.57,6.08,6.51,5.67,9.98,4.31,5.92,93.38,0.48,96.15,4.46,6.47,0.68,5.79,209.69
2021,109,18.11,44.45,4.59,4.17,4.38,4.76,4.38,6.51,2.12,5.37,96.88,12.49,96.01,2.16,3.56,0.87,2.7,189.0
2021,110,36.36,43.16,3.83,1.51,2.68,3.79,5.17,7.13,1.96,4.39,85.75,0.15,97.59,3.83,5.68,1.55,4.12,298.06
2021,111,31.92,42.62,3.19,0.73,1.97,3.31,6.55,7.46,0.92,4.15,84.94,0.31,97.62,3.51,5.19,1.48,3.7,312.12
2021,112,23.76,41.87,3.5,2.49,3.0,3.74,3.39,5.55,2.15,4.7,93.06,1.19,97.64,1.67,2.6,1.03,1.57,205.5
2021,113,25.58,40.7,3.18,1.78,2.48,3.6,4.37,5.83,1.47,4.46,90.69,0.33,97.86,1.46,2.36,0.06,2.3,180.94
2021,114,18.19,39.55,4.76,4.45,4.6,4.79,4.66,7.51,2.84,5.37,96.81,0.35,97.65,3.68,5.88,2.04,3.84,226.12
2021,115,13.68,38.53,5.65,4.61,5.13,5.58,6.15,9.47,3.32,5.49,93.0,1.58,96.72,4.79,8.66,1.53,7.12,282.31
2021,116,8.15,37.73,4.84,4.29,4.56,4.44,4.57,7.0,2.43,5.43,96.06,4.39,96.18,2.71,4.55,1.52,3.03,302.88
2021,117,20.71,36.93,3.99,3.13,3.56,3.96,4.4,6.06,1.67,5.0,94.19,2.05,95.54,1.84,3.01,0.99,2.02,276.88
2021,118,13.46,35.6,2.08,0.44,1.26,2.52,4.94,5.1,0.16,4.15,89.0,2.61,95.98,5.43,7.91,2.71,5.2,282.88
2021,119,25.29,34.77,1.59,-0.66,0.47,2.04,3.81,3.93,0.12,3.78,85.0,0.48,96.78,3.67,7.48,1.18,6.3,288.75
2021,120,12.02,34.44,1.7,-0.22,0.74,1.83,3.5,3.73,0.22,3.91,87.12,1.72,96.6,1.47,2.38,0.52,1.86,132.0
2021,121,23.99,33.04,1.75,0.22,0.98,1.71,5.49,5.06,-0.43,4.03,89.56,0.51,96.38,1.77,2.89,0.58,2.31,256.88
2021,122,16.44,32.3,0.1,-1.41,-0.65,1.02,5.18,3.14,-2.04,3.66,89.62,2.03,96.05,4.49,7.7,2.26,5.45,241.31
2021,123,16.71,31.35,0.59,-1.57,-0.49,1.48,3.45,2.02,-1.42,3.48,85.56,2.23,97.79,5.03,6.23,4.15,2.09,241.44
2021,124,16.91,30.48,3.92,2.87,3.4,3.98,3.19,5.36,2.17,4.82,92.88,1.42,97.82,6.88,8.28,4.59,3.7,256.06
2021,125,19.49,30.31,3.84,2.96,3.4,4.15,1.55,4.64,3.1,4.76,93.94,0.6,98.44,7.16,9.87,3.87,6.0,240.44
2021,126,11.62,29.52,3.83,3.19,3.51,3.98,2.4,5.3,2.9,4.88,95.56,1.0,98.54,2.14,3.47,1.09,2.38,293.25
2021,127,15.47,28.58,3.74,3.08,3.41,3.75,2.45,5.14,2.69,4.88,95.44,0.32,97.6,3.35,4.98,1.86,3.12,333.25
2021,128,19.45,28.12,3.23,2.94,3.08,2.89,3.55,4.91,1.37,4.88,97.0,0.08,97.02,2.84,3.88,1.8,2.09,326.94
2021,129,18.41,27.29,3.71,2.58,3.14,3.65,3.66,5.25,1.59,4.7,92.19,0.61,97.42,5.03,6.83,2.3,4.54,261.56
2021,130,21.18,26.59,5.27,3.57,4.42,4.98,4.27,8.01,3.73,5.07,88.94,0.1,97.73,5.1,7.32,2.75,4.57,303.38
2021,131,4.58,25.8,4.98,3.9,4.44,4.95,3.27,6.45,3.18,5.25,92.69,0.59,96.16,6.42,8.73,4.44,4.28,272.5
2021,132,15.29,25.4,5.23,4.42,4.83,4.78,4.04,7.06,3.01,5.43,94.5,0.09,96.14,4.19,5.59,2.79,2.8,330.69
2021,133,21.33,24.55,4.15,2.55,3.35,3.94,5.24,6.12,0.88,4.76,89.31,0.34,97.36,3.88,6.54,2.07,4.47,299.5
2021,134,22.43,24.14,3.76,3.15,3.45,4.23,4.23,5.82,1.59,4.88,95.88,0.08,98.26,4.55,5.91,3.53,2.38,304.69
2021,135,10.51,23.22,4.27,3.3,3.79,4.62,2.73,6.01,3.29,4.88,93.44,0.15,98.43,5.09,6.19,4.68,1.51,194.31
2021,136,12.28,23.02,4.18,3.33,3.76,4.45,2.1,5.51,3.4,4.88,94.12,0.16,98.77,5.6,7.14,4.86,2.28,323.44
2021,137,4.67,22.18,4.39,3.65,4.02,4.67,1.93,5.37,3.44,5.07,94.88,2.51,97.93,7.47,8.99,6.07,2.92,11.88
2021,138,6.32,21.69,6.25,5.66,5.95,6.08,1.87,7.01,5.14,5.86,96.0,4.19,97.52,4.87,6.7,1.79,4.9,78.06
2021,139,10.15,21.09,4.05,3.5,3.78,4.19,3.19,5.33,2.15,5.0,96.06,3.05,98.27,2.2,3.43,1.22,2.21,209.19
2021,140,8.95,20.16,2.95,2.52,2.74,3.58,1.93,3.77,1.84,4.64,96.94,6.39,98.43,2.01,2.69,1.42,1.27,126.56
2021,141,11.03,20.52,3.1,2.37,2.73,3.39,2.9,4.37,1.47,4.64,94.88,0.46,98.27,1.71,2.44,1.22,1.23,228.69
2021,142,10.08,19.91,1.95,1.0,1.48,1.92,2.66,3.59,0.94,4.15,93.31,0.16,98.16,1.59,2.73,1.16,1.59,304.88
2021,143,7.91,19.74,2.47,2.05,2.26,2.99,3.52,4.23,0.71,4.58,97.0,1.27,96.17,4.6,6.45,2.86,3.59,291.31
2021,144,8.73,19.35,-0.24,-2.41,-1.32,0.64,4.26,2.04,-2.23,3.42,85.56,2.67,95.03,6.41,8.96,2.66,6.3,242.88
2021,145,8.81,18.41,-1.26,-4.35,-2.81,0.11,1.49,-0.6,-2.09,2.87,79.69,3.5,95.99,7.41,8.52,5.95,2.58,237.88
2021,146,10.3,18.07,-1.42,-4.35,-2.88,-0.24,1.48,-0.93,-2.42,2.87,80.69,3.49,96.13,6.49,7.91,4.73,3.19,225.88
2021,147,10.77,17.69,-2.04,-4.59,-3.31,-0.88,1.36,-1.33,-2.69,2.81,83.5,3.95,95.87,5.04,6.14,3.8,2.34,222.75
2021,148,8.47,17.28,-1.97,-4.33,-3.15,-0.9,2.75,-0.49,-3.24,2.87,84.62,3.51,96.29,6.38,8.05,4.23,3.83,217.56
2021,149,7.46,17.01,-1.83,-3.96,-2.9,-0.87,2.05,-1.13,-3.19,2.93,86.19,3.31,96.62,5.69,6.38,5.19,1.2,219.62
2021,150,9.84,16.68,-2.7,-4.72,-3.71,-2.18,2.58,-1.34,-3.92,2.75,87.31,2.6,96.77,3.06,5.4,1.65,3.75,223.62
2021,151,11.26,16.49,-2.81,-4.86,-3.84,-2.74,3.41,-0.55,-3.95,2.75,87.31,1.69,96.84,1.91,3.02,1.34,1.68,157.38
2021,152,13.66,16.34,-3.49,-5.06,-4.27,-2.86,1.81,-2.31,-4.12,2.69,91.12,2.09,97.52,3.15,3.66,2.59,1.06,140.38
2021,153,14.46,15.99,-3.98,-5.44,-4.71,-4.67,4.3,-1.39,-5.69,2.56,92.0,0.43,97.73,1.89,2.48,1.38,1.1,81.25
2021,154,9.68,15.92,-4.94,-5.96,-5.45,-6.29,4.13,-2.3,-6.44,2.5,95.62,0.12,97.21,1.8,1.99,1.57,0.42,180.44
2021,155,7.64,15.69,-2.58,-3.76,-3.17,-3.81,5.41,-0.52,-5.92,2.99,93.25,0.67,96.98,1.29,1.83,0.27,1.56,79.81
