-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2021 
Location: Latitude  -54.8093   Longitude -68.3337 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 268.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2M_RANGE              MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
WS2M_RANGE             MERRA-2 Wind Speed at 2 Meters Range (m/s) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,T2M,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WD2M
2020,36,115.52,139.52,5.53,5.33,8.44,3.12,4.39,77.25,0.57,98.51,4.09,5.46,1.58,3.88,226.81
2020,37,131.75,139.31,8.76,10.71,13.33,2.62,5.0,71.19,0.0,99.26,1.57,2.77,0.3,2.47,226.0
2020,38,113.5,137.72,11.76,9.7,16.63,6.93,5.98,70.31,0.0,98.94,1.18,1.67,0.87,0.8,223.88
2020,39,130.23,136.7,13.77,9.43,18.35,8.92,6.1,63.56,0.0,99.05,1.63,3.74,0.55,3.19,165.62
2020,40,87.88,134.6,12.33,9.45,17.05,7.6,6.77,75.81,0.58,98.28,4.05,5.82,0.98,4.84,342.25
2020,41,94.67,132.24,10.37,7.37,14.0,6.63,6.04,76.56,0.12,98.15,2.12,3.48,0.12,3.36,224.19
2020,42,41.54,127.43,10.05,6.75,12.99,6.25,6.59,83.62,0.39,96.97,4.52,7.13,2.46,4.67,217.06
2020,43,105.25,132.77,8.03,6.1,11.14,5.03,5.13,74.94,0.38,96.66,3.59,4.99,1.69,3.31,273.5
2020,44,61.34,130.77,9.16,7.67,12.65,4.98,6.53,86.88,76.47,96.1,4.98,6.52,3.1,3.42,264.88
2020,45,85.19,130.7,9.3,5.79,12.02,6.23,6.1,79.88,71.45,95.14,4.05,6.08,2.5,3.57,281.44
2020,46,52.65,126.11,6.64,4.93,8.69,3.75,5.8,89.56,6.07,94.62,3.97,6.52,1.27,5.25,146.25
2020,47,91.06,126.73,5.7,4.2,7.98,3.78,5.07,85.06,1.64,95.52,3.89,6.3,2.17,4.13,262.81
2020,48,55.7,124.8,6.14,6.24,8.51,2.27,5.31,86.88,1.73,95.9,5.83,9.4,2.41,6.99,254.25
2020,49,72.32,125.93,8.33,4.04,10.6,6.56,6.47,89.44,6.28,94.79,6.27,7.15,4.63,2.52,287.38
2020,50,72.02,123.29,7.05,3.62,9.23,5.6,5.86,90.94,5.57,97.22,6.72,8.39,3.62,4.77,223.94
2020,51,94.38,119.39,8.87,7.73,13.19,5.45,5.86,82.06,1.46,98.81,3.29,4.39,2.14,2.26,270.69
2020,52,77.85,117.98,12.23,5.13,14.52,9.38,7.69,85.5,0.41,98.49,5.62,6.66,4.12,2.55,265.5
2020,53,84.04,117.31,12.4,10.88,17.31,6.44,7.75,82.81,2.38,97.12,4.66,8.14,2.57,5.57,296.38
2020,54,57.51,119.73,7.16,6.47,10.44,3.98,5.31,80.5,3.12,95.84,6.5,8.01,5.46,2.54,279.31
2020,55,70.88,117.23,5.11,3.61,7.04,3.43,4.88,85.62,3.82,95.88,7.74,9.43,5.9,3.53,247.56
2020,56,51.77,113.66,7.01,5.11,9.09,3.98,5.98,91.5,5.35,96.54,4.87,6.32,3.1,3.22,248.06
2020,57,64.7,113.99,8.73,5.87,11.47,5.6,6.47,88.19,2.38,95.94,6.81,9.04,5.05,3.98,260.19
2020,58,70.87,113.35,6.58,3.38,8.69,5.31,5.31,84.69,4.85,96.24,8.79,10.77,6.57,4.2,254.0
2020,59,78.18,110.46,7.44,4.62,10.25,5.63,5.55,84.0,1.31,97.16,5.52,7.57,2.43,5.13,263.94
2020,60,52.31,109.45,10.23,8.08,14.01,5.94,7.08,87.56,2.61,96.61,4.41,6.38,2.55,3.84,305.12
2020,61,94.45,109.1,9.43,6.55,12.69,6.15,5.8,77.38,0.17,97.03,4.8,6.11,2.99,3.12,286.81
2020,62,66.73,105.97,9.26,8.68,13.13,4.45,5.8,77.94,0.46,97.25,5.24,6.97,3.56,3.41,277.25
2020,63,75.73,99.77,7.65,9.08,12.38,3.3,5.19,78.5,0.34,98.13,4.52,6.92,1.44,5.48,312.5
2020,64,34.6,98.15,9.46,5.27,12.6,7.33,6.96,91.38,0.74,97.64,4.28,6.77,2.16,4.61,251.25
2020,65,63.26,102.62,11.46,7.3,15.05,7.73,7.75,89.62,0.16,97.86,3.85,5.46,2.66,2.81,328.62
2020,66,41.25,99.5,10.94,6.04,14.39,8.35,7.69,90.75,7.95,96.01,3.1,6.16,1.56,4.59,169.0
2020,67,36.95,100.28,6.94,2.38,8.07,5.69,6.1,92.75,20.41,94.56,7.59,10.55,3.51,7.03,242.06
2020,68,64.23,97.95,7.39,3.52,9.56,6.05,5.74,87.0,1.44,96.88,6.37,8.17,3.16,5.01,233.5
2020,69,53.66,95.16,7.19,7.21,10.83,3.62,5.25,81.81,0.91,97.99,2.97,4.09,1.81,2.27,260.0
2020,70,71.14,91.95,5.78,6.98,9.5,2.52,4.64,80.12,0.53,98.09,1.77,2.82,0.21,2.62,160.69
2020,71,28.52,84.62,5.94,3.9,8.01,4.11,5.49,91.94,6.57,97.22,4.34,5.3,3.05,2.25,32.88
2020,72,40.45,89.22,9.03,6.93,12.38,5.45,6.71,90.5,1.33,97.08,3.02,4.09,1.25,2.84,164.88
2020,73,75.48,89.76,8.34,6.98,12.42,5.44,5.43,78.75,0.44,96.98,2.21,4.47,1.02,3.44,302.19
2020,74,54.96,89.61,8.56,5.42,10.96,5.54,5.92,82.81,0.46,96.88,4.59,6.38,2.61,3.77,303.12
2020,75,44.05,88.76,11.05,5.78,13.99,8.21,6.84,80.75,0.13,96.48,5.42,7.0,2.93,4.07,301.12
2020,76,58.99,87.76,8.1,4.76,10.39,5.63,5.68,81.44,0.83,96.31,5.34,7.75,2.27,5.48,283.56
2020,77,44.66,82.02,8.22,5.25,11.05,5.8,5.8,82.25,1.12,96.81,7.48,8.87,6.5,2.37,290.94
2020,78,38.62,84.02,7.31,4.57,9.08,4.51,5.49,82.69,2.22,96.4,5.61,7.26,3.23,4.02,270.62
2020,79,44.86,81.77,6.15,3.2,7.64,4.44,5.19,84.19,2.41,96.15,6.97,9.33,4.98,4.35,285.25
2020,80,52.15,81.7,3.44,3.59,5.17,1.58,4.03,79.0,1.22,95.49,7.88,9.29,6.1,3.19,258.5
2020,81,20.45,78.89,1.9,2.55,3.44,0.88,3.97,86.62,2.83,95.88,3.45,5.34,1.27,4.08,249.19
2020,82,64.2,78.95,5.76,8.49,9.62,1.12,5.07,85.0,1.43,96.03,4.3,5.59,2.7,2.88,309.69
2020,83,27.72,77.3,8.62,9.96,12.09,2.12,6.96,92.69,6.77,94.97,5.05,7.7,3.69,4.02,306.38
2020,84,56.29,76.37,3.37,5.36,6.32,0.95,3.85,77.94,0.28,97.23,5.12,7.26,1.89,5.36,263.5
2020,85,32.6,73.91,6.85,8.63,10.42,1.79,5.74,88.94,0.74,96.84,5.55,6.81,4.62,2.2,319.81
2020,86,31.02,72.96,6.65,7.09,9.18,2.08,5.37,84.06,2.27,96.07,5.48,7.44,3.4,4.04,273.25
2020,87,59.01,72.09,3.83,5.93,7.23,1.3,4.33,83.88,0.53,96.6,4.86,7.35,2.61,4.74,264.5
2020,88,38.44,70.57,4.1,5.66,7.4,1.75,4.76,91.0,1.38,97.27,2.53,3.41,1.59,1.83,291.75
2020,89,34.98,69.04,5.22,7.15,8.28,1.13,5.31,92.38,0.75,97.46,4.23,5.79,2.38,3.41,320.25
2020,90,40.34,67.29,6.58,5.27,9.44,4.18,5.19,83.94,0.4,97.43,6.08,8.0,3.91,4.09,293.56
2020,91,36.94,66.07,6.83,5.48,9.59,4.11,5.49,87.06,0.64,97.59,4.13,7.18,1.96,5.22,287.5
2020,92,40.24,65.09,7.89,7.54,11.69,4.16,6.1,89.69,0.55,97.72,4.05,5.4,2.34,3.06,325.31
2020,93,27.26,63.62,9.11,7.41,12.86,5.44,6.65,89.0,1.96,96.95,5.7,8.66,3.28,5.38,321.31
2020,94,44.2,62.16,4.65,6.3,7.86,1.55,4.58,83.38,1.66,95.97,3.98,5.51,2.07,3.45,298.19
2020,95,20.92,60.59,3.62,4.58,6.01,1.43,4.52,86.38,0.91,94.76,5.41,6.95,3.73,3.21,300.5
2020,96,36.03,60.09,2.66,3.42,4.71,1.29,4.15,86.25,1.86,96.01,5.51,7.7,3.59,4.11,259.88
2020,97,22.27,56.84,6.75,6.75,9.37,2.62,5.43,85.69,0.39,97.04,5.84,8.24,2.72,5.52,306.06
2020,98,26.16,56.47,8.4,5.27,10.71,5.44,6.35,89.56,1.28,97.42,4.25,7.09,2.55,4.55,299.0
2020,99,47.55,54.0,11.39,6.09,14.83,8.73,7.32,84.88,0.01,97.0,5.52,7.38,1.84,5.52,334.56
2020,100,31.71,55.07,10.65,7.37,14.73,7.36,7.2,86.69,0.22,96.49,3.7,6.16,0.99,5.17,222.94
2020,101,37.46,53.93,5.16,5.34,7.57,2.23,4.46,77.94,0.17,96.45,6.37,8.45,3.67,4.78,297.75
2020,102,30.86,52.59,3.21,5.06,5.9,0.84,4.33,86.88,0.57,96.48,4.76,6.27,3.2,3.07,283.56
2020,103,29.19,51.84,3.17,5.98,6.57,0.58,4.52,91.44,1.9,96.59,4.2,7.27,2.07,5.21,274.94
2020,104,33.75,50.7,5.91,5.92,8.28,2.37,5.43,90.5,2.79,96.98,5.38,7.55,2.27,5.28,265.25
2020,105,21.34,49.09,7.03,3.62,8.8,5.18,5.74,89.44,0.19,97.18,4.29,5.54,3.54,1.99,297.31
2020,106,41.93,48.09,5.98,6.62,10.03,3.4,5.8,95.06,0.02,97.25,2.66,4.04,1.04,3.0,273.94
2020,107,29.49,45.2,6.81,7.84,10.32,2.48,5.62,87.88,0.61,96.64,3.93,6.66,2.38,4.27,229.81
2020,108,36.93,46.4,5.31,7.98,9.22,1.24,5.0,87.44,0.02,96.22,4.88,7.29,1.92,5.38,305.44
2020,109,24.76,45.16,5.31,4.76,8.25,3.5,5.25,90.0,1.24,95.48,4.8,6.84,2.13,4.7,333.94
2020,110,25.59,43.49,3.13,4.61,5.72,1.11,4.58,92.12,1.77,95.58,4.3,7.07,2.16,4.9,266.75
2020,111,23.31,41.62,4.65,4.55,7.02,2.47,4.94,89.94,2.27,96.6,6.83,8.27,4.7,3.55,252.5
2020,112,26.53,42.14,3.2,2.97,4.61,1.65,4.33,88.19,4.61,97.17,6.59,7.67,4.86,2.8,245.75
2020,113,39.35,41.27,2.38,3.29,4.42,1.12,3.97,85.44,0.44,97.67,3.66,5.68,1.8,3.88,246.69
2020,114,26.86,40.36,3.35,5.05,6.44,1.38,4.52,90.31,1.04,96.82,4.22,6.0,3.0,3.0,268.12
2020,115,27.06,39.36,1.4,3.98,2.91,-1.07,3.85,89.25,2.52,97.62,4.41,7.01,1.49,5.52,187.94
2020,116,27.57,38.28,0.1,4.35,2.9,-1.45,3.17,83.19,0.17,98.81,2.38,3.61,1.48,2.14,279.62
2020,117,32.99,37.48,2.16,6.3,5.53,-0.77,4.21,93.25,0.02,98.24,3.55,4.93,2.59,2.34,280.88
2020,118,31.14,36.74,4.4,5.12,7.72,2.58,5.19,96.19,0.12,97.9,2.66,3.39,1.7,1.7,272.88
2020,119,24.16,35.45,2.5,4.8,5.4,0.59,4.39,93.81,0.15,98.16,1.98,2.57,1.25,1.32,308.69
2020,120,18.23,32.79,3.38,3.77,4.96,1.2,4.7,94.19,2.66,97.39,4.85,6.8,2.22,4.58,342.5
2020,121,20.7,33.8,3.03,5.73,6.07,0.33,4.52,92.0,0.69,97.71,4.25,6.84,2.2,4.64,285.81
2020,122,17.73,32.34,2.87,4.67,4.77,0.09,4.21,87.38,0.15,98.65,3.5,5.79,0.41,5.38,86.25
2020,123,21.85,30.92,6.23,3.32,8.13,4.81,5.86,95.81,1.49,97.34,3.88,5.92,0.82,5.1,108.69
2020,124,23.44,30.19,3.14,3.1,5.25,2.15,4.52,91.75,1.65,97.54,4.02,5.35,2.61,2.74,188.06
2020,125,20.77,30.55,3.68,3.39,5.73,2.34,4.58,90.62,0.45,97.98,5.12,6.28,3.76,2.52,228.56
2020,126,24.0,30.14,2.82,4.72,5.87,1.15,4.46,93.88,0.02,98.58,3.19,5.35,1.39,3.96,247.31
2020,127,13.76,28.47,2.9,4.41,5.48,1.07,4.39,91.88,0.24,97.87,1.88,3.22,0.51,2.71,200.88
2020,128,16.64,28.42,4.02,3.69,5.76,2.07,5.13,96.69,6.4,97.01,3.53,5.66,1.7,3.97,215.25
2020,129,18.06,27.43,4.7,3.54,7.13,3.59,5.37,97.19,0.26,96.15,2.48,3.56,1.28,2.28,333.19
2020,130,13.92,25.73,4.74,5.0,7.97,2.97,5.25,94.75,0.17,95.78,1.64,2.7,0.15,2.55,271.88
2020,131,16.59,26.2,3.51,4.23,5.48,1.26,4.88,95.81,0.4,96.09,1.93,3.03,0.62,2.41,290.44
2020,132,13.31,24.96,2.37,2.22,3.79,1.57,4.39,93.88,1.5,96.36,3.96,5.2,2.46,2.73,258.81
2020,133,20.09,25.11,2.3,2.19,3.44,1.25,4.03,86.94,0.71,97.36,6.62,8.08,4.79,3.29,238.31
2020,134,10.88,24.19,2.56,3.38,4.24,0.86,4.33,92.5,0.9,97.52,3.61,5.88,2.07,3.81,285.69
2020,135,5.3,24.13,1.57,1.9,2.68,0.77,4.27,96.19,3.06,96.23,3.66,4.83,2.09,2.74,333.56
2020,136,15.52,23.46,2.67,2.93,4.59,1.66,4.76,97.62,0.44,95.82,2.45,3.62,1.34,2.28,207.38
2020,137,12.86,22.82,3.03,2.63,4.61,1.98,4.76,96.0,1.49,95.64,2.11,4.15,0.7,3.45,72.5
2020,138,15.22,22.23,2.01,3.45,4.22,0.76,4.33,94.31,0.41,96.48,2.87,4.5,1.53,2.97,317.25
2020,139,5.38,21.09,2.42,3.02,3.64,0.62,4.64,97.81,8.92,95.67,3.55,4.39,1.62,2.77,90.19
2020,140,15.51,21.38,1.72,3.73,3.19,-0.53,4.27,96.0,4.46,96.44,3.7,5.38,2.2,3.18,247.25
2020,141,10.59,20.66,0.85,3.52,2.99,-0.53,4.09,97.5,0.33,97.33,2.29,2.83,1.8,1.03,310.38
2020,142,11.16,20.28,2.22,3.8,4.39,0.6,4.39,96.19,0.32,97.98,3.35,4.98,2.37,2.61,298.62
2020,143,5.16,19.93,3.62,2.83,5.02,2.19,4.82,94.62,1.85,96.94,6.07,6.79,4.27,2.53,342.19
2020,144,9.41,19.39,3.55,5.18,5.97,0.79,5.07,97.31,3.73,96.24,3.44,4.78,1.16,3.62,162.81
2020,145,10.31,18.94,1.01,1.07,1.64,0.57,4.03,95.0,3.0,97.12,4.02,4.71,2.81,1.9,45.44
2020,146,5.78,18.58,2.48,2.46,3.79,1.33,4.52,96.19,3.27,97.44,6.69,11.71,3.05,8.65,109.44
2020,147,6.96,18.6,3.39,3.98,5.28,1.31,4.82,95.06,1.78,95.73,6.05,11.09,3.05,8.04,243.88
2020,148,9.01,18.06,1.55,3.27,3.53,0.26,4.21,95.38,0.34,97.21,2.67,3.41,1.91,1.52,301.44
2020,149,7.82,17.31,1.48,3.1,2.65,-0.44,3.91,90.94,0.56,98.39,3.97,4.5,3.21,1.28,262.31
2020,150,7.09,17.19,3.23,2.36,4.43,2.08,4.76,97.44,0.88,98.57,3.27,4.18,2.34,1.84,269.88
2020,151,10.3,16.95,3.56,1.85,4.19,2.34,4.94,97.62,2.54,98.15,3.52,5.31,0.93,4.39,316.06
2020,152,9.35,16.94,2.59,2.93,4.26,1.32,4.46,95.12,0.05,97.76,3.82,6.84,2.49,4.34,315.25
2020,153,11.49,16.66,2.87,4.13,5.43,1.3,4.46,91.62,0.86,96.01,5.48,7.49,3.66,3.83,296.94
2020,154,11.18,16.21,1.31,1.42,1.91,0.49,3.85,89.19,3.69,96.86,6.52,8.31,3.9,4.41,251.12
2020,155,2.8,15.47,2.28,3.58,4.32,0.74,4.33,92.31,2.64,95.3,7.3,10.59,3.66,6.93,321.94
2020,156,10.12,15.59,3.51,3.07,5.21,2.14,4.64,90.31,0.14,94.89,5.73,7.25,4.36,2.89,300.81
2020,157,10.7,15.56,3.88,4.55,5.33,0.78,4.88,91.56,0.09,94.96,6.52,9.18,3.05,6.14,316.94
2020,158,7.06,14.99,0.6,3.23,2.19,-1.03,4.09,97.56,0.15,95.17,2.92,4.24,2.16,2.08,248.62
2020,159,5.97,14.85,1.92,5.02,4.66,-0.35,4.27,92.75,0.4,94.75,6.2,9.17,3.84,5.32,326.88
2020,160,7.35,14.52,0.25,3.58,2.76,-0.82,3.66,89.12,0.71,94.54,5.62,8.23,1.9,6.34,296.38
2020,161,9.18,14.22,0.29,3.45,2.55,-0.9,3.85,92.56,1.23,93.83,3.51,5.19,1.99,3.2,191.75
2020,162,9.12,14.19,-0.42,2.12,0.91,-1.2,3.42,87.25,3.08,94.63,6.71,9.93,2.52,7.41,246.81
2020,163,7.86,13.72,-0.78,1.18,-0.09,-1.26,3.3,88.69,4.35,95.66,6.08,7.0,4.39,2.62,222.31
2020,164,8.59,13.91,-0.27,0.97,0.19,-0.79,3.48,89.81,3.65,96.81,6.62,7.7,4.74,2.96,211.94
2020,165,11.7,14.17,-1.38,2.07,-0.2,-2.27,3.11,88.81,0.95,97.59,2.72,4.55,0.67,3.88,236.56
2020,166,7.01,14.03,-2.13,3.68,-0.49,-4.17,3.05,93.44,0.3,97.52,3.31,4.7,1.19,3.52,22.62
2020,167,5.07,13.62,0.5,2.63,1.57,-1.06,3.97,97.31,1.86,97.4,4.59,6.74,2.85,3.89,315.31
2020,168,10.38,13.48,0.29,2.91,1.92,-0.99,3.97,98.44,5.45,97.08,2.39,3.66,1.5,2.16,264.12
2020,169,12.7,13.79,1.35,2.7,1.99,-0.7,4.21,97.19,0.76,96.91,1.93,3.24,0.07,3.17,187.75
2020,170,9.8,13.77,-1.51,2.3,-0.14,-2.45,3.42,97.69,0.34,95.87,2.65,4.12,1.41,2.71,62.88
2020,171,7.11,13.45,0.85,1.8,1.43,-0.38,4.03,95.12,3.19,95.19,1.29,2.28,0.28,2.0,191.25
2020,172,5.23,13.55,-0.32,5.27,2.09,-3.17,3.85,98.31,1.3,95.4,3.29,4.67,2.09,2.58,173.06
2020,173,9.67,13.28,0.59,2.88,2.36,-0.52,4.03,97.38,1.31,96.25,1.82,2.58,0.98,1.59,282.56
2020,174,8.87,13.03,-0.14,2.3,1.17,-1.13,3.66,94.94,0.3,96.99,1.12,2.09,0.32,1.77,171.12
2020,175,6.07,13.1,-0.34,0.74,0.01,-0.74,3.66,95.81,7.0,97.24,4.07,5.62,1.42,4.2,211.06
2020,176,7.54,13.52,-0.36,3.77,1.07,-2.7,3.66,96.5,2.65,98.16,2.61,3.54,1.34,2.21,155.25
2020,177,10.49,13.37,-1.16,3.79,0.74,-3.05,3.3,94.12,1.48,98.99,3.29,4.37,2.37,2.0,209.12
2020,178,12.34,13.62,0.58,1.88,1.66,-0.22,3.78,94.38,1.31,98.92,4.41,5.33,3.56,1.77,221.5
2020,179,10.88,13.96,0.22,1.2,0.95,-0.25,3.54,90.0,1.17,98.9,5.48,6.0,4.52,1.48,214.94
2020,180,10.85,13.85,-1.02,3.09,0.3,-2.79,3.23,91.94,1.03,99.13,3.96,5.6,2.66,2.95,212.25
2020,181,12.34,13.97,-2.25,3.01,-0.17,-3.17,2.93,91.19,0.66,99.26,2.38,2.96,1.84,1.12,214.56
2020,182,12.59,14.22,-2.89,3.72,-0.95,-4.67,2.69,88.88,0.46,99.2,1.7,2.03,1.32,0.72,216.31
2020,183,13.57,14.73,-3.58,6.36,-0.92,-7.28,2.62,91.06,0.43,98.53,1.14,1.59,0.69,0.9,217.75
2020,184,7.75,14.75,-4.2,4.69,-2.04,-6.73,2.56,94.06,0.22,97.73,1.23,1.39,0.98,0.41,319.88
2020,185,8.01,14.42,-2.89,2.69,-0.99,-3.68,2.93,96.19,0.32,97.68,1.46,2.16,1.17,0.98,284.75
2020,186,9.15,14.81,-2.52,3.43,0.08,-3.35,3.05,96.5,0.07,98.26,1.77,2.16,1.41,0.74,293.12
2020,187,11.62,15.21,-2.99,3.09,-1.35,-4.44,2.81,93.94,0.1,98.84,1.08,1.39,0.69,0.7,281.88
